iter	Passed	Remaining
154	375	2048
155	377	2044
156	380	2044
157	383	2041
158	385	2037
159	387	2034
160	389	2030
161	391	2027
162	394	2023
163	396	2021
164	399	2019
165	401	2017
166	403	2014
167	406	2012
168	408	2009
169	410	2005
170	413	2003
171	415	2001
172	418	2002
173	421	2002
174	424	1999
175	426	1996
176	429	1995
177	431	1994
178	434	1992
179	436	1988
180	438	1985
181	441	1982
182	443	1981
183	447	1982
184	450	1982
185	453	1982
186	455	1980
187	457	1977
188	460	1976
189	463	1974
190	465	1973
191	468	1970
192	470	1966
193	472	1963
194	474	1960
195	477	1957
196	479	1954
197	481	1950
198	483	1946
199	485	1943
200	487	1939
201	490	1936
202	493	1936
203	495	1934
204	498	1932
205	500	1928
206	502	1925
207	505	1922
208	507	1921
209	510	1919
210	512	1917
211	515	1914
212	517	1911
213	519	1907
214	521	1905
215	524	1902
216	526	1900
217	529	1900
218	532	1898
219	534	1896
220	536	1892
221	539	1891
222	542	1890
223	544	1887
224	547	1884
225	549	1881
226	551	1878
227	553	1875
228	556	1873
229	558	1870
230	561	1868
231	563	1865
232	565	1862
233	568	1859
234	571	1858
235	573	1856
236	575	1853
237	577	1849
238	579	1846
239	582	1843
240	584	1840
241	587	1840
242	590	1838
243	592	1835
244	594	1832
245	596	1829
246	598	1826
247	601	1823
248	603	1821
249	606	1819
250	608	1817
251	611	1814
252	613	1810
253	615	1807
254	618	1806
255	621	1804
256	623	1803
257	626	1801
258	628	1799
259	631	1796
260	633	1793
261	636	1791
262	638	1790
263	640	1786
264	643	1783
265	645	1781
266	647	1778
267	650	1777
268	653	1774
269	655	1772
270	657	1769
271	659	1766
272	662	1763
273	664	1761
274	667	1758
275	669	1755
276	671	1752
277	673	1749
278	676	1747
279	678	1745
280	681	1744
281	684	1743
282	687	1741
283	689	1738
284	691	1735
285	694	1732
286	696	1730
287	699	1729
288	702	1727
289	704	1725
290	707	1723
291	709	1720
292	712	1718
293	714	1716
294	717	1714
295	719	1711
296	721	1708
297	724	1705
298	726	1703
299	729	1701
300	731	1699
301	734	1697
302	737	1695
303	739	1693
304	741	1690
305	746	1692
306	748	1690
307	751	1687
308	753	1684
309	755	1681
310	757	1678
311	760	1676
312	762	1673
313	764	1670
314	766	1667
315	769	1664
316	771	1661
317	773	1659
318	776	1657
319	778	1654
320	781	1652
321	783	1649
322	785	1646
323	787	1643
324	790	1641
325	793	1639
326	795	1637
327	798	1635
328	800	1632
329	802	1629
330	804	1626
331	806	1623
332	809	1621
333	812	1619
334	814	1616
335	816	1613
336	818	1611
337	821	1608
338	823	1606
339	826	1604
340	829	1602
341	832	1601
342	836	1601
343	838	1598
344	841	1597
345	844	1595
346	846	1592
347	848	1590
348	851	1587
349	853	1584
350	855	1582
351	858	1579
352	860	1577
353	862	1574
354	865	1571
355	867	1568
356	869	1566
357	872	1564
358	875	1562
359	877	1559
360	879	1557
361	882	1555
362	884	1552
363	887	1550
364	889	1548
365	892	1546
366	894	1543
367	897	1540
368	899	1537
369	901	1535
370	904	1533
371	907	1531
372	909	1528
373	911	1526
374	914	1523
375	916	1520
376	918	1518
377	921	1516
378	923	1513
379	926	1511
380	928	1508
381	930	1505
382	932	1502
383	935	1500
384	938	1498
385	941	1497
386	943	1494
387	946	1492
388	948	1489
389	950	1487
390	953	1484
391	955	1481
392	957	1478
393	959	1475
394	961	1473
395	964	1470
396	967	1469
397	970	1467
398	972	1464
399	974	1462
400	977	1459
401	979	1456
402	981	1454
403	984	1452
404	986	1449
405	989	1447
406	991	1444
407	993	1441
408	996	1439
409	999	1437
410	1001	1435
411	1004	1433
412	1006	1430
413	1008	1427
414	1010	1425
415	1013	1422
416	1016	1420
417	1018	1418
418	1020	1415
419	1023	1413
420	1025	1410
421	1027	1407
422	1030	1405
423	1032	1403
424	1036	1402
425	1039	1400
426	1041	1397
427	1043	1394
428	1046	1392
429	1048	1389
430	1050	1387
431	1053	1384
432	1055	1381
433	1058	1380
434	1060	1377
435	1063	1375
436	1065	1373
437	1068	1370
438	1070	1367
439	1072	1365
440	1074	1362
441	1077	1360
442	1079	1357
443	1082	1355
444	1084	1353
445	1087	1350
446	1089	1347
447	1091	1344
448	1094	1342
449	1096	1340
450	1099	1338
451	1101	1335
452	1103	1333
453	1106	1330
454	1108	1328
455	1111	1325
456	1113	1323
457	1116	1321
458	1118	1318
459	1120	1315
460	1123	1313
461	1126	1311
462	1129	1309
463	1131	1307
464	1134	1305
465	1136	1302
466	1139	1300
467	1141	1297
468	1143	1294
469	1145	1292
470	1148	1289
471	1150	1286
472	1152	1284
473	1154	1281
474	1157	1279
475	1160	1277
476	1163	1275
477	1165	1272
478	1167	1269
479	1169	1266
480	1173	1265
481	1175	1263
482	1178	1260
483	1180	1258
484	1182	1255
485	1184	1252
486	1187	1250
487	1189	1248
488	1192	1246
489	1194	1243
490	1196	1240
491	1199	1238
492	1201	1235
493	1204	1233
494	1207	1231
495	1209	1228
496	1211	1226
497	1213	1223
498	1216	1221
499	1218	1218
500	1222	1217
501	1224	1215
502	1227	1212
503	1230	1210
504	1232	1208
505	1235	1205
506	1237	1203
507	1240	1201
508	1243	1199
509	1245	1196
510	1247	1194
511	1250	1191
512	1253	1189
513	1255	1187
514	1257	1184
515	1260	1182
516	1262	1179
517	1264	1176
518	1267	1174
519	1270	1172
520	1272	1170
521	1274	1167
522	1277	1164
523	1279	1161
524	1281	1159
525	1284	1157
526	1286	1155
527	1289	1152
528	1291	1149
529	1293	1147
530	1296	1144
531	1298	1142
532	1301	1139
533	1303	1137
534	1305	1135
535	1308	1132
536	1310	1129
537	1312	1127
538	1315	1125
539	1317	1122
540	1320	1120
541	1322	1117
542	1324	1115
543	1327	1112
544	1329	1110
545	1332	1107
546	1335	1105
547	1337	1103
548	1340	1101
549	1342	1098
550	1344	1095
551	1347	1093
552	1350	1091
553	1352	1089
554	1355	1086
555	1357	1083
556	1359	1081
557	1362	1079
558	1364	1076
559	1367	1074
560	1370	1072
561	1372	1069
562	1374	1066
563	1376	1064
564	1379	1062
565	1382	1060
566	1384	1057
567	1386	1054
568	1389	1052
569	1391	1049
570	1394	1047
571	1397	1045
572	1399	1043
573	1401	1040
574	1403	1037
575	1406	1035
576	1408	1032
577	1411	1030
578	1414	1028
579	1416	1025
580	1418	1023
581	1420	1020
582	1422	1017
583	1425	1015
584	1428	1013
585	1430	1010
586	1432	1007
587	1434	1005
588	1436	1002
589	1439	1000
590	1441	997
591	1444	995
592	1447	993
593	1449	990
594	1452	988
595	1454	985
596	1457	983
597	1459	981
598	1462	978
599	1464	976
600	1466	973
601	1468	971
602	1471	968
603	1474	966
604	1476	964
605	1479	961
606	1481	959
607	1483	956
608	1485	953
609	1488	951
610	1490	949
611	1493	946
612	1495	944
613	1497	941
614	1499	938
615	1502	936
616	1504	934
617	1507	931
618	1510	929
619	1512	926
620	1514	924
621	1516	921
622	1518	919
623	1521	916
624	1523	914
625	1525	911
626	1528	909
627	1530	906
628	1532	903
629	1534	901
630	1537	899
631	1540	896
632	1543	894
633	1545	892
634	1548	889
635	1550	887
636	1553	885
637	1555	882
638	1558	880
639	1560	877
640	1562	875
641	1564	872
642	1568	870
643	1571	868
644	1574	866
645	1577	864
646	1580	862
647	1583	859
648	1585	857
649	1588	855
650	1590	852
651	1592	850
652	1594	847
653	1597	845
654	1600	843
655	1603	840
656	1605	838
657	1607	835
658	1609	833
659	1612	830
660	1614	828
661	1616	825
662	1619	823
663	1621	820
664	1623	818
665	1626	815
666	1628	812
667	1631	810
668	1634	808
669	1637	806
670	1640	804
671	1642	801
672	1644	798
673	1647	796
674	1651	795
675	1653	792
676	1656	790
677	1658	787
678	1660	785
679	1663	782
680	1665	780
681	1668	777
682	1670	775
683	1672	772
684	1674	770
685	1676	767
686	1680	765
687	1682	763
688	1684	760
689	1687	757
690	1689	755
691	1691	752
692	1693	750
693	1697	748
694	1699	745
695	1701	743
696	1703	740
697	1705	738
698	1708	735
699	1710	733
700	1712	730
701	1715	728
702	1717	725
703	1719	722
704	1721	720
705	1723	717
706	1726	715
707	1729	713
708	1731	710
709	1734	708
710	1737	706
711	1739	703
712	1741	701
713	1744	698
714	1746	696
715	1749	693
716	1751	691
717	1753	688
718	1755	686
719	1758	683
720	1761	681
721	1763	679
722	1765	676
723	1768	674
724	1770	671
725	1772	669
726	1775	666
727	1778	664
728	1780	661
729	1782	659
730	1784	656
731	1787	654
732	1790	652
733	1792	649
734	1795	647
735	1797	644
736	1799	642
737	1802	639
738	1804	637
739	1806	634
740	1809	632
741	1811	629
742	1814	627
743	1816	624
744	1818	622
745	1820	619
746	1823	617
747	1825	615
748	1828	612
749	1830	610
750	1832	607
751	1834	605
752	1837	602
753	1840	600
754	1843	598
755	1845	595
756	1848	593
757	1850	590
758	1853	588
759	1856	586
760	1858	583
761	1860	581
762	1862	578
763	1865	576
764	1867	573
765	1870	571
766	1872	568
767	1875	566
768	1877	563
769	1880	561
770	1882	559
771	1885	556
772	1887	554
773	1890	551
774	1892	549
775	1894	546
776	1896	544
777	1898	541
778	1901	539
779	1903	536
780	1905	534
781	1908	531
782	1911	529
783	1913	527
784	1915	524
785	1918	522
786	1920	519
787	1923	517
788	1925	514
789	1927	512
790	1929	509
791	1932	507
792	1935	505
793	1938	502
794	1940	500
795	1942	497
796	1945	495
797	1947	493
798	1950	490
799	1953	488
800	1955	485
801	1957	483
802	1960	480
803	1962	478
804	1965	476
805	1968	473
806	1970	471
807	1972	468
808	1974	466
809	1977	463
810	1980	461
811	1983	459
812	1986	457
813	1989	454
814	1992	452
815	1995	449
816	1997	447
817	2000	445
818	2002	442
819	2005	440
820	2007	437
821	2009	435
822	2012	432
823	2015	430
824	2017	427
825	2019	425
826	2021	422
827	2024	420
828	2026	418
829	2030	415
830	2033	413
831	2035	411
832	2037	408
833	2040	406
834	2042	403
835	2045	401
836	2048	398
837	2050	396
838	2053	394
839	2055	391
840	2057	389
841	2060	386
842	2063	384
843	2065	381
844	2067	379
845	2069	376
846	2071	374
847	2074	371
848	2077	369
849	2079	367
850	2082	364
851	2084	362
852	2086	359
853	2088	357
854	2091	354
855	2093	352
856	2095	349
857	2097	347
858	2099	344
859	2102	342
860	2105	339
861	2107	337
862	2110	335
863	2112	332
864	2114	330
865	2117	327
866	2119	325
867	2122	322
868	2124	320
869	2127	317
870	2129	315
871	2131	312
872	2133	310
873	2136	307
874	2138	305
875	2141	303
876	2144	300
877	2147	298
878	2149	295
879	2152	293
880	2155	291
881	2158	288
882	2160	286
883	2162	283
884	2164	281
885	2166	278
886	2169	276
887	2172	273
888	2174	271
889	2176	269
890	2179	266
891	2181	264
892	2183	261
893	2186	259
894	2188	256
895	2190	254
896	2192	251
897	2195	249
898	2197	246
899	2199	244
900	2202	241
901	2204	239
902	2207	237
903	2209	234
904	2211	232
905	2213	229
906	2216	227
907	2218	224
908	2221	222
909	2223	219
910	2225	217
911	2228	214
912	2230	212
913	2232	210
914	2235	207
915	2238	205
916	2240	202
917	2242	200
918	2244	197
919	2246	195
920	2249	192
921	2252	190
922	2255	188
923	2257	185
924	2260	183
925	2262	180
926	2264	178
927	2267	175
928	2269	173
929	2272	171
930	2274	168
931	2276	166
932	2278	163
933	2281	161
934	2283	158
935	2285	156
936	2288	153
937	2290	151
938	2292	148
939	2295	146
940	2297	144
941	2300	141
942	2303	139
943	2305	136
944	2307	134
945	2309	131
946	2312	129
947	2314	126
948	2317	124
949	2319	122
950	2321	119
951	2324	117
952	2326	114
953	2329	112
954	2331	109
955	2334	107
956	2336	104
957	2338	102
958	2340	100
959	2343	97
960	2346	95
961	2348	92
962	2351	90
963	2354	87
964	2356	85
965	2358	83
966	2361	80
967	2364	78
968	2366	75
969	2368	73
970	2370	70
971	2372	68
972	2375	65
973	2377	63
974	2379	61
975	2382	58
976	2384	56
977	2386	53
978	2389	51
979	2392	48
980	2394	46
981	2397	43
982	2399	41
983	2401	39
984	2403	36
985	2405	34
986	2408	31
987	2412	29
988	2414	26
989	2416	24
990	2418	21
991	2421	19
992	2424	17
993	2426	14
994	2428	12
995	2431	9
996	2433	7
997	2435	4
998	2438	2
999	2440	0
