iter	MultiClass
0	1.329087889
1	1.281166496
2	1.239301712
3	1.205319893
4	1.175418631
5	1.148960778
6	1.126645011
7	1.108151281
8	1.090614338
9	1.075193761
10	1.059228993
11	1.047067214
12	1.033203906
13	1.021808411
14	1.011957496
15	1.001752388
16	0.9939428134
17	0.9884988946
18	0.97950388
19	0.970417421
20	0.9642001065
21	0.9561259457
22	0.9512621852
23	0.9464874947
24	0.940728238
25	0.9352408639
26	0.9301570746
27	0.9260264541
28	0.9219314307
29	0.9174989427
30	0.9146632082
31	0.9105424736
32	0.9061524966
33	0.9018295897
34	0.8982654373
35	0.8958039175
36	0.8937087764
37	0.8919119064
38	0.8902278245
39	0.8873933519
40	0.8845497092
41	0.8811711474
42	0.8794916179
43	0.8770098099
44	0.8747753801
45	0.8723871765
46	0.8692438253
47	0.8660423863
48	0.8643380945
49	0.8610721311
50	0.8581555139
51	0.8563909618
52	0.8525835808
53	0.850144865
54	0.8486019542
55	0.8472642087
56	0.8449019456
57	0.8428351913
58	0.8420161108
59	0.839554731
60	0.8372389371
61	0.8351396454
62	0.8331227609
63	0.8319780049
64	0.8293665746
65	0.8277004379
66	0.8259369525
67	0.8244062103
68	0.8233679567
69	0.8212495889
70	0.8206583822
71	0.8191456092
72	0.8175057624
73	0.8159061717
74	0.8139881381
75	0.8131963108
76	0.810876181
77	0.8092070753
78	0.8074849288
79	0.8059912453
80	0.8049138955
81	0.8038093194
82	0.8012673535
83	0.7998868957
84	0.7974785999
85	0.7950996445
86	0.7940293193
87	0.7926901298
88	0.7907708989
89	0.789384496
90	0.7879341207
91	0.7864296301
92	0.7849990358
93	0.7827270948
94	0.7814241305
95	0.7792849396
96	0.7770935015
97	0.7759783029
98	0.7735275394
99	0.770772465
100	0.7690194647
101	0.7677150804
102	0.7670275276
103	0.7658948494
104	0.763679258
105	0.7630385787
106	0.7612125587
107	0.7604072962
108	0.7596968828
109	0.7582138503
110	0.7568168927
111	0.755696882
112	0.7540948389
113	0.7526111671
114	0.7514147154
115	0.7503832189
116	0.7489599493
117	0.7478259462
118	0.7469619937
119	0.7463507552
120	0.7447314614
121	0.7439124168
122	0.7427722079
123	0.7417627865
124	0.7400758606
125	0.7388162447
126	0.7374739647
127	0.7369809388
128	0.7352515308
129	0.7345867701
130	0.7334053051
131	0.7312784459
132	0.7299761982
133	0.7291686296
134	0.7272780604
135	0.7264272462
136	0.7245693524
137	0.7238055459
138	0.7217868035
139	0.7194029899
140	0.7184190589
141	0.7173077427
142	0.7165830683
143	0.715553241
144	0.7142121885
145	0.7134362835
146	0.7119819016
147	0.7111269917
148	0.7093355347
149	0.7081566969
150	0.7069438442
151	0.7061421524
152	0.7054371896
153	0.704485666
154	0.7036565769
155	0.7028206016
156	0.7011522253
157	0.700393582
158	0.6993251989
159	0.6981245478
160	0.6971268718
161	0.6954998183
162	0.6948768347
163	0.6941616282
164	0.6930010699
165	0.6919652129
166	0.6913214842
167	0.6897735537
168	0.6887543743
169	0.6870497885
170	0.6861703945
171	0.6850515341
172	0.6840476695
173	0.6830052664
174	0.6826006014
175	0.6809416401
176	0.6801658683
177	0.6787061619
178	0.6769077629
179	0.6749004346
180	0.6732904481
181	0.6723297621
182	0.670514825
183	0.6695222074
184	0.6680060347
185	0.6670050296
186	0.6661177879
187	0.6650312998
188	0.6641999752
189	0.663016759
190	0.6612959908
191	0.6603468448
192	0.6598356899
193	0.6589306052
194	0.6581187252
195	0.6567877175
196	0.6564117638
197	0.6552700929
198	0.6544175024
199	0.6531584972
200	0.6520009583
201	0.6501575103
202	0.649633476
203	0.64888646
204	0.6473910103
205	0.6462062002
206	0.644772296
207	0.6437748441
208	0.6419555121
209	0.6411660902
210	0.6403122737
211	0.6395792443
212	0.6389251357
213	0.6375112857
214	0.6357437052
215	0.6350374646
216	0.6346232684
217	0.6336301874
218	0.6328232238
219	0.6321954384
220	0.6315309335
221	0.6301679611
222	0.6293677229
223	0.6283279583
224	0.6275008305
225	0.6269561967
226	0.6265929875
227	0.6260362574
228	0.6254522783
229	0.62498132
230	0.6231842412
231	0.6221800367
232	0.6208646996
233	0.6193257261
234	0.6180988006
235	0.616915405
236	0.6157764147
237	0.6149058936
238	0.6143525766
239	0.6138603959
240	0.6129326763
241	0.6122230814
242	0.6113587883
243	0.6104574992
244	0.6097280502
245	0.6089826228
246	0.6083594983
247	0.6078319895
248	0.6075623072
249	0.6067427109
250	0.6062821598
251	0.6058908214
252	0.6050304323
253	0.6039270587
254	0.6032359398
255	0.6026830846
256	0.6022717887
257	0.6013710065
258	0.6001475452
259	0.5989689496
260	0.5985952235
261	0.5976840584
262	0.5972691877
263	0.5968281096
264	0.596157588
265	0.5952635007
266	0.5943393639
267	0.5940054077
268	0.5934367366
269	0.5929395198
270	0.5918878875
271	0.5905639316
272	0.5897151066
273	0.588912673
274	0.5877698638
275	0.5870020978
276	0.5860698859
277	0.585099262
278	0.5842567695
279	0.583342537
280	0.5824360442
281	0.5815903454
282	0.5805848929
283	0.5796748728
284	0.5787436991
285	0.5782195988
286	0.5773941601
287	0.5767914145
288	0.5761405072
289	0.5745684631
290	0.5732651818
291	0.5728226589
292	0.5717419061
293	0.5712403458
294	0.5707267293
295	0.5694509677
296	0.5681606767
297	0.5677081017
298	0.5669453134
299	0.5661331977
300	0.5655757374
301	0.5651816705
302	0.5645662003
303	0.5641183617
304	0.5634395165
305	0.5625470025
306	0.5619126924
307	0.5613962348
308	0.5608152537
309	0.5599008097
310	0.55948732
311	0.5588603352
312	0.558114437
313	0.5572722402
314	0.5560600038
315	0.5551529071
316	0.5540957216
317	0.5532343195
318	0.5528158246
319	0.551276099
320	0.5504545518
321	0.5496315712
322	0.5488461958
323	0.5481032435
324	0.5476847651
325	0.5469981116
326	0.5461149883
327	0.5458881986
328	0.5450793078
329	0.5436699759
330	0.5425697822
331	0.5420075846
332	0.5413703341
333	0.5408249531
334	0.5404690959
335	0.5396843103
336	0.5387552255
337	0.5378788548
338	0.5363381379
339	0.5358391774
340	0.5349837223
341	0.534092279
342	0.5337554388
343	0.533521262
344	0.5331084386
345	0.5317329747
346	0.5312822564
347	0.5303219403
348	0.5298402385
349	0.5289866039
350	0.5278474888
351	0.5270977676
352	0.526489183
353	0.5259094785
354	0.525147095
355	0.5245684716
356	0.5240354397
357	0.5232421607
358	0.5227234759
359	0.5219921125
360	0.5211248958
361	0.5202939704
362	0.5194434191
363	0.5183915159
364	0.517510089
365	0.5168548309
366	0.5163928614
367	0.5153913866
368	0.5143877272
369	0.5136108565
370	0.5128544836
371	0.511805624
372	0.5111180322
373	0.5107395374
374	0.510306276
375	0.5100345771
376	0.5092028852
377	0.508783479
378	0.5079360258
379	0.5074683825
380	0.5072283524
381	0.5063917624
382	0.5059915942
383	0.5056299021
384	0.5051043749
385	0.504666454
386	0.50388324
387	0.5032965027
388	0.5025558255
389	0.5017906812
390	0.5014447615
391	0.5009448581
392	0.5003027258
393	0.4999941407
394	0.499365892
395	0.4989775117
396	0.498254936
397	0.4974764964
398	0.496722004
399	0.4959065179
400	0.4949011029
401	0.4940839264
402	0.4936366223
403	0.493210106
404	0.4927903707
405	0.4920017816
406	0.4915512159
407	0.4910146228
408	0.490574883
409	0.4899925512
410	0.4887064052
411	0.4882432013
412	0.4875737748
413	0.4868821243
414	0.4859544178
415	0.4853727986
416	0.4846016603
417	0.4838678678
418	0.4829719789
419	0.4824031547
420	0.481673458
421	0.4813232932
422	0.481156752
423	0.4806719477
424	0.4798854744
425	0.4794189393
426	0.4791361754
427	0.4787482382
428	0.4782582788
429	0.4776903692
430	0.4773279284
431	0.4768506726
432	0.4766223903
433	0.4759718633
434	0.4756907611
435	0.4751915734
436	0.4748998559
437	0.4743553757
438	0.4739310671
439	0.4735414975
440	0.4725901131
441	0.4719360417
442	0.4713992806
443	0.470761037
444	0.4702571892
445	0.4694238264
446	0.4692886267
447	0.4685905236
448	0.4677508767
449	0.466699009
450	0.4661644734
451	0.4659068012
452	0.4652896814
453	0.4648860235
454	0.4642641595
455	0.4635692317
456	0.4631432616
457	0.4624794577
458	0.4619819241
459	0.4612831752
460	0.4609698032
461	0.4601635153
462	0.4599325795
463	0.4595308795
464	0.4593985739
465	0.4587392072
466	0.4582971368
467	0.4575105951
468	0.4567682178
469	0.4558212567
470	0.4551896077
471	0.4549228094
472	0.454426164
473	0.4539688793
474	0.4534962038
475	0.4529170786
476	0.4520462302
477	0.4516006225
478	0.4512699572
479	0.4503233372
480	0.449751347
481	0.4495061788
482	0.449076662
483	0.448734281
484	0.4480376118
485	0.4476020429
486	0.4473663009
487	0.4465848953
488	0.4456043045
489	0.445148261
490	0.4443759291
491	0.4438634249
492	0.4434202516
493	0.4428133236
494	0.4425109195
495	0.4420487829
496	0.4411180379
497	0.4406690056
498	0.4400812556
499	0.4397555423
500	0.4394042195
501	0.4390952021
502	0.4386907165
503	0.4381467097
504	0.4377470994
505	0.4372736123
506	0.4370693851
507	0.4364965144
508	0.4360335322
509	0.4357831185
510	0.4350520783
511	0.4345163422
512	0.4342325486
513	0.4335934513
514	0.4331414069
515	0.4324553428
516	0.4321037119
517	0.4316389051
518	0.4313851852
519	0.4307270068
520	0.4302050918
521	0.4294369691
522	0.4289317614
523	0.4287884833
524	0.4282196977
525	0.4279813313
526	0.4275554187
527	0.4267913886
528	0.4264914118
529	0.4259529796
530	0.4254622186
531	0.4251748991
532	0.42481227
533	0.4242656462
534	0.4237685871
535	0.4228200505
536	0.4225903366
537	0.4220716466
538	0.4215816595
539	0.4210337136
540	0.4208253482
541	0.4204829651
542	0.4199766014
543	0.4194286841
544	0.4192925366
545	0.4189389224
546	0.4185938555
547	0.4181973035
548	0.4177542565
549	0.4172781455
550	0.4167792897
551	0.4164402036
552	0.4160162036
553	0.4156467792
554	0.4151030546
555	0.41485876
556	0.4145324332
557	0.4140723857
558	0.4139198682
559	0.4134523397
560	0.4126816898
561	0.412117167
562	0.411452845
563	0.411166916
564	0.4106443333
565	0.4102428115
566	0.4097977156
567	0.4092894444
568	0.4088419207
569	0.4083944314
570	0.4077551534
571	0.4071908182
572	0.4068415585
573	0.406236446
574	0.4059900572
575	0.4057266473
576	0.4053183851
577	0.4046761132
